side,entry_timestamp_ist,exit_timestamp_ist,entry_price,exit_price,quantity,pnl_usd,exit_reason
BUY,2026-01-10 18:36:00,2026-01-10 18:39:00,90704.5,90701.93589743589,3.0,-100.00000000024738,SL_HIT_INTRABAR
SELL,2026-01-17 19:30:00,2026-01-17 19:33:00,95311.5,95314.09000259,2.9699999999999256,-100.00000000007462,SL_HIT_INTRABAR
BUY,2026-01-18 21:21:00,2026-01-18 21:24:00,95043.2,95054.97394034537,2.9399999999999036,450.0000000001904,TARGET_HIT_INTRABAR
BUY,2026-01-24 19:24:00,2026-01-24 19:27:00,89500.0,89497.49843652283,3.0749999999999607,-99.99999999986304,SL_HIT_INTRABAR
SELL,2026-02-01 19:18:00,2026-02-01 19:21:00,78426.6,78415.23205759758,3.0450000000000017,450.00000000020543,TARGET_HIT_INTRABAR
SELL,2026-03-29 20:21:00,2026-03-29 20:24:00,66511.0,66513.41896468312,3.180000000000063,-100.00000000026071,SL_HIT_INTRABAR
SELL,2026-04-04 18:51:00,2026-04-04 18:54:00,67063.3,67065.742002442,3.1499999999999853,-99.99999999973615,SL_HIT_INTRABAR
BUY,2026-04-04 19:03:00,2026-04-04 19:06:00,67073.9,67084.9946745562,3.120000000000064,449.99999999990797,TARGET_HIT_INTRABAR
BUY,2026-05-03 20:12:00,2026-05-03 20:15:00,78672.3,78669.93677183033,3.2550000000000363,-99.99999999989663,SL_HIT_INTRABAR
SELL,2026-05-17 19:00:00,2026-05-17 19:03:00,78212.3,78214.68521168754,3.2250000000000676,-99.99999999990897,SL_HIT_INTRABAR
